1, caderno, 25, 8.00, 01/08/2023
2, guitarra, 4, 1200.00, 15/07/2023
3, estojo, 10, 15.00, 05/08/2023
4, tablet, 3, 1500.00, 22/07/2023
5, caneta hidrográfica, 30, 3.00, 10/08/2023
6, piano, 2, 2500.00, 30/07/2023
7, mouse, 20, 45.00, 20/08/2023
8, fones de ouvido, 15, 100.00, 28/07/2023
9, capa para celular, 12, 30.00, 12/08/2023
10, livro de receitas, 6, 35.00, 05/07/2023
11, mochila, 8, 90.00, 18/08/2023
12, caneta esferográfica, 25, 2.00, 01/09/2023
13, jogo de tabuleiro, 5, 85.00, 10/07/2023
14, carregador portátil, 10, 50.00, 20/08/2023
15, banco de dados, 3, 500.00, 15/09/2023
16, sabonete artesanal, 20, 6.00, 25/08/2023
17, bolsa de praia, 7, 40.00, 12/09/2023
18, jogo de cartas, 15, 25.00, 10/07/2023
19, lanterna, 10, 30.00, 03/08/2023
20, gorro de inverno, 5, 25.00, 01/09/2023
21, camiseta de manga longa, 12, 45.00, 04/08/2023
22, caneta colorida, 30, 2.00, 14/09/2023
23, suporte para notebook, 6, 75.00, 25/08/2023
24, quadro decorativo, 5, 60.00, 12/07/2023
25, mouse pad, 15, 20.00, 03/09/2023
26, organizador de mesa, 8, 35.00, 05/08/2023
27, bloco de notas, 25, 4.00, 15/09/2023
28, escova de dentes elétrica, 4, 120.00, 30/08/2023
29, óculos de sol, 10, 70.00, 18/08/2023
30, filtro de café, 12, 10.00, 02/09/2023
31, garras para cabelo, 20, 5.00, 10/07/2023
32, pasta para documentos, 15, 25.00, 11/09/2023
33, sacola reutilizável, 30, 1.50, 14/09/2023
34, toalha de banho, 12, 40.00, 08/08/2023
35, jogo de tabuleiro, 6, 80.00, 01/09/2023
36, carteira, 5, 50.00, 25/07/2023
37, caneta gel, 20, 2.00, 15/08/2023
38, capa de chuva, 3, 100.00, 22/09/2023
39, cesto de roupa, 4, 35.00, 18/09/2023
40, bico de pato, 10, 15.00, 12/08/2023
41, tênis casual, 3, 150.00, 05/09/2023
42, protetor solar, 10, 30.00, 30/08/2023
43, caderno de desenho, 15, 20.00, 02/08/2023
